vendorCode,title,description,sellingPrice,onHand,productLine,imageUrl,brand,category,subcategory
90YV0EH6-M0NA00,NVIDIA® GeForce GTX 1650; PCI Express 3.0; 4GB GDDR6; 1xDVI; 1xHDMI;1xDP;HDCP. 3xMas display; 300w.,NVIDIA® GeForce GTX 1650; PCI Express 3.0; 4GB GDDR6; 1xDVI; 1xHDMI;1xDP;HDCP. 3xMas display; 300w.,4009,0,ASUS OP,https://content.storefront7.co.za/stores/feed-library/Rectron/90YV0EH6-M0NA00/83912052_0394897824.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90YV0EH6-M0NA00/83912052_7054861982.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90YV0EH6-M0NA00/83912052_9470098746.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90YV0EH6-M0NA00/83912052_8335400311.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90YV0EH6-M0NA00/83912052_8469618114.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90YV0EH6-M0NA00/83912052_7341516704.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90YV0EH6-M0NA00/83912052_3782784343.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90YV0EH6-M0NA00/83912052_3717418613.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90YV0EH6-M0NA00/83912052_0993108474.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90YV0EH6-M0NA00/83912052_2826992702.jpg,ASUS,Components & Accessories,Graphics Cards
90DC0012-B49000,ASUS GT501 TUF GAMING CASE/GRY/WITH HANDLE,ASUS GT501 TUF GAMING CASE/GRY/WITH HANDLE,2192,53,ASUS OP,https://content.storefront7.co.za/stores/feed-library/Rectron/90DC0012-B49000/66665987_3071208232.jpg;https://content.storefront7.co.za/stores/za.co.storefront7.rectron/products/90dc0012-b49000/pictures/asus-gt501-tuf-gaming-case.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90DC0012-B49000/66665987_6759849112.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90DC0012-B49000/66665987_8825144035.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90DC0012-B49000/66665987_2803027895.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90DC0012-B49000/66665987_4572842815.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90DC0012-B49000/66665987_8092710825.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90DC0012-B49000/66665987_3112613389.jpg,ASUS,Components & Accessories,Chassis
90MB1340-M0EAY0,ASUS TUF GAMING Z490 PLUS  LGA1200; 4x DDR4; 1 x PCIe 3.0x16 + 1 x PCIe 3.0/2.0 x16 (@x4 mode) + 3 x PCIe x1; 6x SATA; 2x M.2; 1,ASUS TUF GAMING Z490 PLUS  LGA1200; 4x DDR4; 1 x PCIe 3.0x16 + 1 x PCIe 3.0/2.0 x16 (@x4 mode) + 3 x PCIe x1; 6x SATA; 2x M.2; 1,1999,215,ASUS OP,https://content.storefront7.co.za/stores/feed-library/Rectron/90MB1340-M0EAY0/90MB1340-M0EAY0/79067583_5280743010.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90MB1340-M0EAY0/90MB1340-M0EAY0/79067583_2429935719.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90MB1340-M0EAY0/90MB1340-M0EAY0/79067583_1607436944.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90MB1340-M0EAY0/90MB1340-M0EAY0/79067583_1356032420.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90MB1340-M0EAY0/90MB1340-M0EAY0/79067583_8310035503.jpg,ASUS,Components & Accessories,Motherboards
90YE00A4-B0NA00,850W; White Edition; Fully Modular; 80 Plus Gold; 10 years warranty.,850W; White Edition; Fully Modular; 80 Plus Gold; 10 years warranty.,2838,0,ASUS OP,https://content.storefront7.co.za/stores/za.co.storefront7.rectron/products/90ye00a4-b0na00/pictures/rog-strix-850g-white.jpg;https://content.storefront7.co.za/stores/za.co.storefront7.rectron/products/90ye00a4-b0na00/pictures/5.-asus-rog-strix-850g-white.jpg,#N/A,#N/A,#N/A
90MB1500-M0EAY0,AMD A520 (Ryzen AM4) micro ATX motherboard with M.2 support; 1 Gb Ethernet; HDMI/D-Sub; SATA 6 Gbps; USB 3.2 Gen 1 Type-A,AMD A520 (Ryzen AM4) micro ATX motherboard with M.2 support; 1 Gb Ethernet; HDMI/D-Sub; SATA 6 Gbps; USB 3.2 Gen 1 Type-A,1189,282,ASUS OP,https://content.storefront7.co.za/stores/feed-library/Rectron/90MB1500-M0EAY0/80471369_7240662056.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90MB1500-M0EAY0/80471369_4916862702.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90MB1500-M0EAY0/80471369_9495843926.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90MB1500-M0EAY0/80471369_2345102781.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90MB1500-M0EAY0/80471369_0012823541.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90MB1500-M0EAY0/80471369_1034835516.jpg,ASUS,Components & Accessories,Motherboards
90YV0DH2-M0NM00,ASUS ROG Strix GeForce RTX™ 2080 8GB GDDR6; 2x HDMI; 2x DP,ASUS ROG Strix GeForce RTX™ 2080 8GB GDDR6; 2x HDMI; 2x DP,16900,0,ASUS OP,https://content.storefront7.co.za/stores/feed-library/Rectron/90YV0DH2-M0NM00/90YV0DH2-M0NM00/72729161_4044234653.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90YV0DH2-M0NM00/90YV0DH2-M0NM00/72729161_7612883362.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90YV0DH2-M0NM00/90YV0DH2-M0NM00/72729161_6929629344.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90YV0DH2-M0NM00/90YV0DH2-M0NM00/72729161_9324245946.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90YV0DH2-M0NM00/90YV0DH2-M0NM00/72729161_6560872971.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90YV0DH2-M0NM00/90YV0DH2-M0NM00/72729161_0927075266.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90YV0DH2-M0NM00/90YV0DH2-M0NM00/72729161_0511297229.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90YV0DH2-M0NM00/90YV0DH2-M0NM00/72729161_1065621947.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90YV0DH2-M0NM00/90YV0DH2-M0NM00/72729161_0131402944.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90YV0DH2-M0NM00/90YV0DH2-M0NM00/72729161_9562613549.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90YV0DH2-M0NM00/90YV0DH2-M0NM00/72729161_9825224854.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90YV0DH2-M0NM00/90YV0DH2-M0NM00/72729161_5881506254.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/90YV0DH2-M0NM00/90YV0DH2-M0NM00/72729161_7879570991.jpg,#N/A,#N/A,#N/A
90YH021G-B1UA00,ASUS TUF Gaming H7 Core PC and PS4 gaming headset comes in four colors and upgraded ear cushions for eyewear comfort,ASUS TUF Gaming H7 Core PC and PS4 gaming headset comes in four colors and upgraded ear cushions for eyewear comfort,1004,1,ASUS OP,https://content.storefront7.co.za/stores/feed-library/Rectron/90YH021G-B1UA00/71173395_8260108125.jpg,ASUS,Components & Accessories,Headsets
90YVE00D1-B0NA00,650W; Non modular; 80 Plus Bronze; 6 years warranty.,650W; Non modular; 80 Plus Bronze; 6 years warranty.,1299,0,ASUS OP,https://content.storefront7.co.za/stores/za.co.storefront7.rectron/products/90yve00d1-b0na00/pictures/asus-tuf-650b-gaming.png;https://content.storefront7.co.za/stores/za.co.storefront7.rectron/products/90yve00d1-b0na00/pictures/asus-tuf-650b-gaming...png,ASUS,Components & Accessories,Power Supply
AORUS 15P KD-72ZA224SD,AORUS 15P KD|15.6'' FHD 240Hz|Intel Core i7-11800H|RTX 3060P GDDR6 6GB|8GB x 2 (16GB) 3200MHz|Gen4 1TB NVMe SSD|DOS,AORUS 15P KD|15.6'' FHD 240Hz|Intel Core i7-11800H|RTX 3060P GDDR6 6GB|8GB x 2 (16GB) 3200MHz|Gen4 1TB NVMe SSD|DOS,26999,17,Gigabyte Notebook,https://content.storefront7.co.za/stores/za.co.storefront7.rectron/products/aorus-15p-kd-72za224sd/pictures/aorus-15p-kd-72za224sd_5kha.jpg,Gigabyte,Systems,Notebooks
P45 - KB (BL),KB P45G 102K US(BL) CLV,KB P45G 102K US(BL) CLV,1016,0,Gigabyte Notebook,,#N/A,#N/A,#N/A
